Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Max Qty (product.metafields.custom.max_qty),Alamat Apotek (product.metafields.vendor_info.address),Nama Apoteker (product.metafields.vendor_info.apoteker),Waktu Praktik (product.metafields.vendor_info.practice_hours),Jadwal Toko (product.metafields.vendor_info.schedule),Nomor SIA (product.metafields.vendor_info.sia),Nomor SIPA (product.metafields.vendor_info.sipa),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
obh-combi-anak-batuk-plus-flu-strawberry-sirup,Obh Combi Anak Batuk Plus Flu (Strawberry) Sirup,"<p>Dus, 1 Botol Plastik @ 60 Ml</p><p>Deskripsi: OBH COMBI ANAK BATUK PLUS FLU (Strawberry) Combiphar SIRUP adalah sirup yang mengandung ammonium chloride, chlorphenamine maleate, paracetamol, pseudoephedrine hydrochloride, succus liquiritiae yang berkhasiat untuk meredakan batuk yang disertai gejalagejala flu pada anak seperti demam, sakit kepala, hidung tersumbat dan bersinbersin dengan rasa strawberry</p><p>Komposisi: Succus Liquiritiae 100 mg, Paracetamol 120 mg, Ammonium Chloride 50 mg, Pseudoephedrine HCL 7.5 mg, Chlorpheniramine Maleate 1.0 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DTL9804123737A1</p><p>Exp Date:05/2027</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID115138-1,60.0,shopify,deny,manual,17700.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115138-1_03092025_b026ccec-f068-42e0-b77d-5714f11b84bd.jpg?v=1760338182,1,Obh Combi Anak Batuk Plus Flu (Strawberry) Sirup,false,Obh Combi Anak Batuk Plus Flu (Strawberry) Sirup,"OBH COMBI ANAK BATUK PLUS FLU (Strawberry) Combiphar SIRUP  sirup yang mengandung ammonium chloride, chlorphenamine maleate, paracetamol, pseudoephedrine hydrochloride, succus liquiritiae yang berkhasiat untuk meredakan batuk yang disertai gejalagejala flu pada anak seperti demam, sakit kepala, hidung tersumbat dan bersinbersin dengan rasa strawberry",,,,,,,,,g,,,active
naprex-suspensi-250-mg,Naprex Suspensi 250 Mg,"<p>Dus, 1 Botol Plastik @ 60 Ml</p><p>Deskripsi: NAPREX DaryaVaria SUSPENSI 250 MG adalah obat yang mengandung parasetamol yang diindikasikan untuk mengatasi nyeri ringan sampai sedang, nyeri sesudah operasi cabut gigi, pireksia.</p><p>Komposisi: Tiap 5 ml sirup mengandung Paracetamol 120 mg</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: SUSPENSI</p><p>NIE:DBL0304518633A1</p><p>Exp Date:02/2027</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID113861-1,60.0,shopify,deny,manual,51300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID113861-1_04092025_1aaf1b9b-c11e-46e0-863f-cb6efbe4d8fd.jpg?v=1760338182,1,Naprex Suspensi 250 Mg,false,Naprex Suspensi 250 Mg,"NAPREX DaryaVaria SUSPENSI 250 MG  obat yang mengandung parasetamol yang diindikasikan untuk mengatasi nyeri ringan sampai sedang, nyeri sesudah operasi cabut gigi, pireksia.",,,,,,,,,g,,,active
lactulax-ika-sirup,Lactulax Ika Sirup,"<p>Dus, 1 Botol @ 120 Ml</p><p>Deskripsi: LACTULAX Ika SIRUP adalah obat yang mengandung lactulose yang diindikasikan untuk mengatasi konstipasi (bekerja dalam waktu 48 jam), ensefalopati hepatik (ensefalopati sistemik portal)</p><p>Komposisi: Per 5 mL : Lactulose 3.335 g</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DBL8709303937A1</p><p>Exp Date:10/2026</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID111108-3,120.0,shopify,deny,manual,74600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID111108-3_26082025_fc771b50-7b60-4c43-8545-a7ad708774f4.jpg?v=1760338181,1,Lactulax Ika Sirup,false,Lactulax Ika Sirup,"LACTULAX Ika SIRUP  obat yang mengandung lactulose yang diindikasikan untuk mengatasi konstipasi (bekerja dalam waktu 48 jam), ensefalopati hepatik (ensefalopati sistemik portal)",,,,,,,,,g,,,active
panadol-anak-1-6-thn-sirup-160-mg-5-ml,Panadol Anak 1-6 Thn Sirup 160 Mg/5 Ml,"<p>Dus, 1 Botol Plastik @ 60 Ml</p><p>Deskripsi: PANADOL ANAK 16 Thn Gsk SIRUP 160 MG/5 ML adalah obat yang mengandung parasetamol yang diindikasikan untuk mengatasi nyeri ringan sampai sedang, nyeri sesudah operasi cabut gigi, pireksia.</p><p>Komposisi: Tiap 5 ml (sendok takar) mengandung Paracetamol 160 mg</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DBL7624501537A1</p><p>Exp Date:10/2027</p>",Inofarma,,"","Kesehatan, mqty:1",true,Title,Default Title,,,,,,,,ID115786-2,60.0,shopify,deny,manual,55500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115786-2_12092025_8df6d2a7-e5bb-4605-8b04-87a4bcd1ad26.jpg?v=1760338181,1,Panadol Anak 1-6 Thn Sirup 160 Mg/5 Ml,false,Panadol Anak 1-6 Thn Sirup 160 Mg/5 Ml,"PANADOL ANAK 16 Thn Gsk SIRUP 160 MG/5 ML  obat yang mengandung parasetamol yang diindikasikan untuk mengatasi nyeri ringan sampai sedang, nyeri sesudah operasi cabut gigi, pireksia.",,,,,,,,,g,,,active
obh-combi-batuk-berdahak-rasa-menthol-sirup,Obh Combi Batuk Berdahak Rasa Menthol Sirup,"<p>Dus, 1 Botol Plastik @ 100 Ml</p><p>Deskripsi: OBH COMBI BATUK BERDAHAK RASA MENTHOL Combiphar SIRUP adalah sirup yang mengandung ammonia water strong 25%, ammonium chloride, anise oil, succus liquiritiae, alcohol, menthol yang berkhasiat untuk meredakan batuk berdahak disertai gejalagejala flu seperti demam, sakit kepala, hidung tersumbat dan bersinbersin</p><p>Komposisi: Tiap 5 mL sirup mengandung Succus liquiritiae extract 167 mg, ammonium Chloride 50 mg, anise oil 0.99 mg, ammon liqduid 7 microliter, menthol crystal 4.44 mg, peppermint oil 3.16 mg, alcohol 2%</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DBL7204116137A1</p><p>Exp Date:05/2027</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID115140-1,100.0,shopify,deny,manual,16500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115140-1_03092025_3862ab0a-ce89-457c-97c4-64b4eb23e8be.jpg?v=1760338180,1,Obh Combi Batuk Berdahak Rasa Menthol Sirup,false,Obh Combi Batuk Berdahak Rasa Menthol Sirup,"OBH COMBI BATUK BERDAHAK RASA MENTHOL Combiphar SIRUP  sirup yang mengandung ammonia water strong 25%, ammonium chloride, anise oil, succus liquiritiae, alcohol, menthol yang berkhasiat untuk meredakan batuk berdahak disertai gejalagejala flu seperti demam, sakit kepala, hidung tersumbat dan bersinbersin",,,,,,,,,g,,,active
fasidol-ifars-drops,Fasidol Ifars Drops,"<p>Dus, Botol 15 Ml</p><p>Deskripsi: FASIDOL Ifars DROPS adalah obat yang mengandung parasetamol yang diindikasikan untuk mengatasi nyeri ringan sampai sedang, nyeri sesudah operasi cabut gigi, pireksia.</p><p>Komposisi: PARACETAMOL 100 MG</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: DROPS</p><p>NIE:DBL0309213936A1</p><p>Exp Date:05/2027</p>",Inofarma,,"","Kesehatan, mqty:1",true,Title,Default Title,,,,,,,,ID106213-1,15.0,shopify,deny,manual,13000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID106213-1_26082025_d38440da-7769-48a9-be3d-a10800b3979f.png?v=1760338180,1,Fasidol Ifars Drops,false,Fasidol Ifars Drops,"FASIDOL Ifars DROPS  obat yang mengandung parasetamol yang diindikasikan untuk mengatasi nyeri ringan sampai sedang, nyeri sesudah operasi cabut gigi, pireksia.",,,,,,,,,g,,,active
zenirex-zenith-sirup,Zenirex Zenith Sirup,"<p>Dus, Botol @ 60 Ml</p><p>Deskripsi: ZENIREX Zenith SIRUP adalah obat yang mengandung guaifenesin, ipecacuanha fluid extract, promethazine hydrochloride yang diindikasikan untuk meredakan batuk berdahak atau batuk yang disebabkan oleh alergi</p><p>Komposisi: Tiap 5ml mengandung Promethazine HCl 5 mg, Ipecacuanhea Extractum 4 mg, Guaifenesin 50 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DTL7827909637A1</p><p>Exp Date:05/2027</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID122968-2,60.0,shopify,deny,manual,7900.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID122968-2_19092025_890be515-73f7-46fb-b7dd-98f6d8f73ed1.jpg?v=1760338179,1,Zenirex Zenith Sirup,false,Zenirex Zenith Sirup,"ZENIREX Zenith SIRUP  obat yang mengandung guaifenesin, ipecacuanha fluid extract, promethazine hydrochloride yang diindikasikan untuk meredakan batuk berdahak atau batuk yang disebabkan oleh alergi",,,,,,,,,g,,,active
obh-combi-batuk-berdahak-rasa-jahe-sirup,Obh Combi Batuk Berdahak Rasa Jahe Sirup,"<p>Dus, Botol Plastik 100 Ml</p><p>Deskripsi: OBH COMBI BATUK BERDAHAK RASA JAHE Combiphar SIRUP adalah sirup yang mengandung ammonia water strong 25%, ammonium chloride, anise oil, succus liquiritiae, alcohol, menthol yang berkhasiat untuk meredakan batuk berdahak disertai gejalagejala flu seperti demam, sakit kepala, hidung tersumbat dan bersinbersin</p><p>Komposisi: Tiap 5 ml sirup mengandung Ekstrak Succus liquiritiae 167 mg, Ammonium klorida 50 mg, Alkohol 2%</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DBL0804130437A1</p><p>Exp Date:07/2027</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID115139-1,100.0,shopify,deny,manual,16500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115139-1_03092025_a0e10614-f051-4515-872f-b616f172e073.jpg?v=1760338176,1,Obh Combi Batuk Berdahak Rasa Jahe Sirup,false,Obh Combi Batuk Berdahak Rasa Jahe Sirup,"OBH COMBI BATUK BERDAHAK RASA JAHE Combiphar SIRUP  sirup yang mengandung ammonia water strong 25%, ammonium chloride, anise oil, succus liquiritiae, alcohol, menthol yang berkhasiat untuk meredakan batuk berdahak disertai gejalagejala flu seperti demam, sakit kepala, hidung tersumbat dan bersinbersin",,,,,,,,,g,,,active
benzolac-5-medica-lab-gel-5,Benzolac 5 Medica Lab Gel 5 %,"<p>Dus, Tube Plastik @ 5 G</p><p>Deskripsi: BENZOLAC 5 Surya Dermato Medica Lab GEL 5 % adalah obat yang mengandung benzoyl peroxide. Obat digunakan untuk mengatasi jerawat.</p><p>Komposisi: Per gram : Benzoyl Peroxide 5%</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: GEL</p><p>NIE:DTL9028600828A1</p><p>Exp Date:05/2027</p>",Inofarma,,"","mqty:2, Perawatan Tubuh",true,Title,Default Title,,,,,,,,ID101955-2,5.0,shopify,deny,manual,25000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101955-2_20082025_06d47a30-6bf6-4abe-8491-b1c310bb8dde.png?v=1760338176,1,Benzolac 5 Medica Lab Gel 5 %,false,Benzolac 5 Medica Lab Gel 5 %,BENZOLAC 5 Surya Dermato Medica Lab GEL 5 %  obat yang mengandung benzoyl peroxide. Obat digunakan untuk mengatasi jerawat.</p>,,,,,,,,,g,,,active
termorex-konimex-sirup,Termorex Konimex Sirup,"<p>Dus, Botol Plastik @ 60 Ml</p><p>Deskripsi: TERMOREX Konimex SIRUP adalah obat yang mengandung parasetamol yang diindikasikan untuk mengatasi nyeri ringan sampai sedang, nyeri sesudah operasi cabut gigi, pireksia.</p><p>Komposisi: Tiap sendok takar (5 ml) mengandung : Paracetamol 160 mg</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DBL7813003537A1</p><p>Exp Date:04/2028</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID120688-2,60.0,shopify,deny,manual,14900.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID120688-2_19092025_7f6df20e-b413-4c77-8d0a-834e7b66c8e3.jpg?v=1760338175,1,Termorex Konimex Sirup,false,Termorex Konimex Sirup,"TERMOREX Konimex SIRUP  obat yang mengandung parasetamol yang diindikasikan untuk mengatasi nyeri ringan sampai sedang, nyeri sesudah operasi cabut gigi, pireksia.",,,,,,,,,g,,,active
